IMMMBRUS,IMMMBRDB,XSMMAIBS
IMMMBRUS,IMMDSMDB,XSMMAIBS
IMMMBRUS,IMMLSTDB,XSMMAIBS
IMMMBRUS,IMMAUDDB,XSMMAIBS
IMMMBRUS,IMMBNTDB,XSMMAIBS
IMMMBRUS,IMMADJDB,XSMMAIBS
IMMMBRUS,IMMTBLDB,XSMMAIBS
IMMMBRUS,IMMZIPDB,XSMMAIBS
IMMMBRUS,IMMFIND2,XSMMAIBS
IMMMBRUS,IMMLSTD2,XSMMAIBS
IMMCEFC2,IMMAUDDB,XSMMAIBS
IMMCEFC2,IMMBTRDB,XSMMAIBS
IMMCEFC2,IMMFINDB,XSMMAIBS
IMMCEFC2,IMMGPSDB,XSMMAIBS
IMMCEFC2,IMMMBRDB,XSMMAIBS
IMMCEFC2,IMMZIPDB,XSMMAIBS
IMMCEFC2,IMMLSTDB,XSMMAIBS
IMMCEFC2,IMMDSMDB,XSMMAIBS
IMMCEFC2,IMMBNTDB,XSMMAIBS
IMMCEFC2,IMMADJDB,XSMMAIBS
IMMCEFC2,IMMMMGLD,XSMMAIBS
IMMCEFC2,IMMTBLDB,XSMMAIBS
IMMCEFCS,IMMAUDDB,XSMMAIBS
IMMCEFCS,IMMBTRDB,XSMMAIBS
IMMCEFCS,IMMFINDB,XSMMAIBS
IMMCEFCS,IMMGPSDB,XSMMAIBS
IMMCEFCS,IMMMBRDB,XSMMAIBS
IMMCEFCS,IMMZIPDB,XSMMAIBS
IMMCEFCS,IMMLSTDB,XSMMAIBS
IMMCEFCS,IMMDSMDB,XSMMAIBS
IMMCEFCS,IMMBNTDB,XSMMAIBS
IMMCEFCS,IMMADJDB,XSMMAIBS
IMMCEFCS,IMMMMGLD,XSMMAIBS
IMMCEFCS,IMMTBLDB,XSMMAIBS
IMMBASRT,PROD
IMMBASRT,SESSION.IMMBSRT_TEMP1
IMMVENTS,IMB.CONT_ACTV
IMMVENTS,IMB.LIFE_FACTOR
IMMEMBUS,IMMMBRDB,XSMMAIBS
IMMEMBUS,IMMGPSDB,XSMMAIBS
IMMEMBUS,IMMFINDB,XSMMAIBS
IMMEMBUS,IMMWK1DB,XSMMAIBS
IMMEMBUS,IMMLSTDB,XSMMAIBS
