Program,Exception Type,Code
IMMINRX.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMINRX.COB,Missing variable referrence,VM2417     CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMINRX.COB,Missing variable referrence,VM2417     CALL IMBXPIOS-PGM-NAME   USING IMBXPIOS-IO-AREA                      
IMMINRX.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMINRX.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMINRX.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMINRX.COB,Missing variable referrence,VM2417     CALL IMBXPIOS-PGM-NAME   USING IMBXPIOS-IO-AREA                      
IMM0470.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING   IMBXEIOS-IO-AREA                    
IMMEGPUU.COB,Missing variable referrence,           CALL IMBXGIOS-PGM-NAME   USING IMBXGIOS-IO-AREA                      
IMMACOIS.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMACOIS.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMACOIS.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMIMBUS.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMIMBUS.COB,Missing variable referrence,CT1584     CALL IMBXAIOS-PGM-NAME   USING IMBXAIOS-IO-AREA                      
IMMIMBUS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME    USING IMBXCIOS-IO-AREA                     
IMMIMBUS.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME USING IMBXEIOS-IO-AREA                        
IMMIMBUS.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMIMBUS.COB,Missing variable referrence,NB1305     CALL IMBXPIOS-PGM-NAME   USING IMBXPIOS-IO-AREA                      
IMMENRX.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMENRX.COB,Missing variable referrence,           CALL IMBXEIOS-PGM-NAME   USING IMBXEIOS-IO-AREA                      
IMMENRX.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME        USING IMBXCIOS-IO-AREA                 
IMMENRX.COB,Missing variable referrence,           CALL WS-IMMGNIOU-PGM     USING IMMGNIOD-IO-LIST                      
IMMINRMS.COB,Missing variable referrence,           CALL IMBTOFIO-PGM-NAME   USING IMBTOFIO-IO-AREA                      
IMMINRMS.COB,Missing variable referrence,           CALL IMBXSIOS-PGM-NAME   USING IMBXSIOS-IO-AREA                      
IMMINRMS.COB,Missing variable referrence,           CALL IMBXCIOS-PGM-NAME    USING                                      
IMMINRMS.COB,Missing variable referrence,           CALL IMMXSSNS-PGM-NME    USING IMMXSSNS-PARM                         
IMMINRMS.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMMINRMS.COB,Missing variable referrence,           CALL IMBACOS-PGM-NAME    USING IMBACOS-IO-AREA                       
IMMINRMS.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMMINRMS.COB,Missing variable referrence,           CALL IMMMNIOS-PGM-NAME   USING IMMMNIOS-IO-AREA                      
IMMENRM,Missing copybook,GR3776     COPY EPSAPICD.                                                       
IMMENRM,Missing copybook,GR3776     COPY EPSAPICC.                                                       
IMMENRM,Missing copybook,GR3776     COPY EPSPACOD.                                                       
IMMENRM,Missing copybook,GR3776     COPY EPSPACOC.                                                       
